CustomerID,Recency,Frequency,Monetary,Segment,Cluster
12346,325,1,77183.6,New,1
12347,2,7,4310.0,Champions,1
12348,75,4,1797.24,At Risk,1
12349,18,1,1757.55,New,0
12350,310,1,334.4,Dormant,2
12352,36,8,2506.04,Champions,1
12353,204,1,89.0,Dormant,2
12354,232,1,1079.4,New,2
12355,214,1,459.4,Dormant,2
12356,22,3,2811.43,Champions,1
12357,33,1,6207.67,New,0
12358,1,2,1168.06,Loyal,0
12359,57,4,6372.58,At Risk,1
12360,52,3,2662.06,At Risk,1
12361,287,1,189.9,Dormant,2
12362,3,10,5226.23,Champions,1
12363,109,2,552.0,Dormant,0
12364,7,4,1313.1,Champions,1
12365,291,2,641.38,Dormant,2
12367,4,1,168.9,New,0
12370,51,4,3545.69,At Risk,1
12371,44,2,1887.96,Loyal,0
12372,71,3,1298.04,At Risk,0
12373,311,1,364.6,Dormant,2
12374,25,1,742.93,New,0
12375,10,2,457.5,Loyal,0
12377,315,2,1628.12,New,2
12378,129,1,4008.62,New,0
12379,81,2,852.24,New,0
12380,21,4,2724.81,Champions,1
12381,4,5,1845.31,Champions,1
12383,184,5,1850.56,At Risk,1
12384,28,2,585.27,Loyal,0
12386,337,2,401.9,Dormant,2
12388,15,6,2780.66,Champions,1
12390,79,1,549.84,Dormant,0
12391,21,1,460.89,New,0
12393,72,4,1582.6,At Risk,1
12394,63,2,1272.48,New,0
12395,19,12,3018.63,Champions,1
12397,35,2,2409.9,Loyal,0
12398,45,1,1635.66,New,0
12399,119,4,1108.65,At Risk,0
12401,303,1,84.3,Dormant,2
12402,323,1,225.6,Dormant,2
12403,49,1,427.7,New,0
12405,148,1,1710.39,New,0
12406,22,2,3415.3,Loyal,1
12407,49,5,1708.12,Champions,1
12408,32,5,2888.55,Champions,1
12409,78,3,11072.67,At Risk,1
12410,308,2,693.33,New,2
12412,74,3,1226.88,At Risk,0
12413,66,3,758.1,At Risk,0
12414,217,3,562.41,At Risk,2
12415,24,21,124914.53,Champions,1
12417,3,9,3649.1,Champions,1
12418,112,1,668.58,Dormant,0
12420,63,1,600.39,Dormant,0
12421,15,4,807.04,Champions,0
12422,95,3,803.56,At Risk,0
12423,0,8,1859.31,Champions,1
12424,162,2,1760.96,New,0
12425,78,1,777.2,New,0
12426,194,1,582.73,Dormant,2
12427,21,3,825.8,Champions,0
12428,25,9,7956.46,Champions,1
12429,9,4,3750.4,Champions,1
12430,43,1,256.4,New,0
12431,35,15,6487.45,Champions,1
12432,42,5,5059.32,Champions,1
12433,0,7,13375.87,Champions,1
12434,84,2,806.14,New,0
12435,79,2,7829.89,New,1
12436,99,1,509.01,Dormant,0
12437,1,18,4951.41,Champions,1
12438,14,2,2906.85,Loyal,0
